Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
2,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,F9 v1.0B0003.1,Failure,4 June 2010,18:45
3,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,F9 v1.0B0003.1,"No attempt
",4 June 2010,18:45
4,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,"Success
",F9 v1.0B0003.1,No attempt,4 June 2010,18:45
5,CCAFS,Dragon,0,LEO,NASA,"Success
",F9 v1.0B0003.1,"No attempt
",4 June 2010,18:45
6,CCAFS,Dragon,525 kg,LEO,MDA,Success,F9 v1.0B0004.1,Uncontrolled,8 December 2010,15:43
7,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,SES,Success,F9 v1.0B0005.1,No attempt,22 May 2012,07:44
8,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,Thaicom,Success,F9 v1.0B0006.1,No attempt,8 October 2012,00:35
9,VAFB,CASSIOPE,500 kg,Polar orbit,NASA,"Success
",F9 v1.0B0007.1,Controlled,1 March 2013,15:10
10,CCAFS,SES-8,"3,170 kg",GTO,Orbcomm,Success,F9 v1.1B1003,Controlled,29 September 2013,16:00
11,CCAFS,Thaicom 6,"3,325 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,3 December 2013,22:41
12,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,AsiaSat,Success,F9 v1.1,"No attempt
",6 January 2014,22:06
13,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,NASA,Success,F9 v1.1,Uncontrolled,18 April 2014,19:25
14,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,NASA,Success,F9 v1.1,Failure ,14 July 2014,15:15
15,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,USAF,"Success
",F9 v1.1,Controlled,5 August 2014,08:00
16,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,ABS,"Success
",F9 v1.1,No attempt,7 September 2014,05:00
